,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
239,José Amavisca,Left Midfield,29,Racing,LaLiga,Dep. La Coruña,LaLiga,2000-2001,-1,1900000
240,Ivica Banovic,Defensive Midfield,19,NK Zagreb, Croatia,Werder Bremen,1.Bundesliga,2000-2001,-1,1900000
241,Tommy Berntsen,Centre-Back,27,Lilleström SK,Eliteserien,E. Frankfurt,1.Bundesliga,2000-2001,-1,1880000
242,Patricio Camps,Forward,28,Vélez Sarsfield, Argentina,PAOK Saloniki,Super League,2000-2001,-1,1850000
243,Brett Emerton,Right Midfield,21,Sydney Olympic, Australia,Feyenoord,Eredivisie,2000-2001,-1,1800000
244,Sergej Barbarez,Second Striker,28,Bor. Dortmund,1.Bundesliga,Hamburger SV,1.Bundesliga,2000-2001,-1,1800000
245,Radek Bejbl,Defensive Midfield,27,Atlético Madrid,LaLiga2,Lens,Ligue 1,2000-2001,-1,1800000
246,Robin Nelisse,Centre-Forward,22,Feyenoord,Eredivisie,AZ Alkmaar,Eredivisie,2000-2001,-1,1800000
247,Yago Yao,Centre-Back,21,Sporting Gijón,LaLiga2,Celta de Vigo,LaLiga,2000-2001,-1,1800000
248,Zinédine Zidane,Attacking Midfield,29,Juventus,Serie A,Real Madrid,LaLiga,2001-2002,-1,77500000
249,Gianluigi Buffon,Goalkeeper,23,Parma,Serie A,Juventus,Serie A,2001-2002,-1,52880000
250,Gaizka Mendieta,Right Midfield,27,Valencia CF,LaLiga,Lazio,Serie A,2001-2002,-1,48000000
251,Juan Sebastián Verón,Central Midfield,26,Lazio,Serie A,Man Utd,Premier League,2001-2002,-1,42600000
252,Rui Costa,Attacking Midfield,29,Fiorentina,Serie A,AC Milan,Serie A,2001-2002,-1,42000000
253,Lilian Thuram,Centre-Back,29,Parma,Serie A,Juventus,Serie A,2001-2002,-1,41500000
254,Pavel Nedved,Left Midfield,28,Lazio,Serie A,Juventus,Serie A,2001-2002,-1,38700000
255,Filippo Inzaghi,Centre-Forward,27,Juventus,Serie A,AC Milan,Serie A,2001-2002,-1,37000000
256,Javier Saviola,Second Striker,19,River Plate, Argentina,FC Barcelona,LaLiga,2001-2002,-1,35900000
257,Ruud van Nistelrooy,Centre-Forward,25,PSV Eindhoven,Eredivisie,Man Utd,Premier League,2001-2002,-1,28500000
258,Antonio Cassano,Second Striker,18,Bari,Serie B,AS Roma,Serie A,2001-2002,-1,28500000
259,Hidetoshi Nakata,Attacking Midfield,24,AS Roma,Serie A,Parma,Serie A,2001-2002,-1,28400000
260,Francesco Toldo,Goalkeeper,29,Fiorentina,Serie A,Inter,Serie A,2001-2002,-1,26500000
261,Jaap Stam,Centre-Back,29,Man Utd,Premier League,Lazio,Serie A,2001-2002,-1,25750000
262,Márcio Amoroso,Centre-Forward,27,Parma,Serie A,Bor. Dortmund,1.Bundesliga,2001-2002,-1,25500000
263,Stefano Fiore,Attacking Midfield,26,Udinese Calcio,Serie A,Lazio,Serie A,2001-2002,-1,25000000
264,Marcelo Salas,Centre-Forward,26,Lazio,Serie A,Juventus,Serie A,2001-2002,-1,25000000
265,Geovanni,Attacking Midfield,21,Cruzeiro, Brazil,FC Barcelona,LaLiga,2001-2002,-1,21000000
266,Andrea Pirlo,Defensive Midfield,22,Inter,Serie A,AC Milan,Serie A,2001-2002,-1,18000000
267,Sérgio Conceição,Right Winger,26,Parma,Serie A,Inter,Serie A,2001-2002,-1,18000000
268,Robbie Keane,Centre-Forward,20,Inter,Serie A,Leeds,Premier League,2001-2002,-1,18000000
269,Sergio,Central Midfield,24,Espanyol,LaLiga,Dep. La Coruña,LaLiga,2001-2002,-1,17900000
270,Steve Marlet,Centre-Forward,27,Olympique Lyon,Ligue 1,Fulham,Premier League,2001-2002,-1,17600000
271,Philippe Christanval,Centre-Back,22,Monaco,Ligue 1,FC Barcelona,LaLiga,2001-2002,-1,17000000
272,Evanilson,Right-Back,25,Bor. Dortmund,1.Bundesliga,Parma,Serie A,2001-2002,-1,17000000
273,Robbie Fowler,Centre-Forward,26,Liverpool,Premier League,Leeds,Premier League,2001-2002,-1,16800000
274,Frank Lampard,Central Midfield,23,West Ham,Premier League,Chelsea,Premier League,2001-2002,-1,16000000
275,Javi Moreno,Centre-Forward,26,Alavés,LaLiga,AC Milan,Serie A,2001-2002,-1,16000000
276,Luca Toni,Centre-Forward,24,Vicenza,Serie B,Brescia,Serie A,2001-2002,-1,15500000
277,Cristian Zenoni,Right-Back,24,AC Milan,Serie A,Juventus,Serie A,2001-2002,-1,15500000
278,Darko Kovacevic,Centre-Forward,27,Juventus,Serie A,Lazio,Serie A,2001-2002,-1,15000000
279,Michalis Konstantinou,Centre-Forward,23,Iraklis,Super League,Panathinaikos,Super League,2001-2002,-1,15000000
280,Massimo Donati,Defensive Midfield,20,Atalanta,Serie A,AC Milan,Serie A,2001-2002,-1,15000000
281,Laurent Robert,Left Winger,26,Paris SG,Ligue 1,Newcastle,Premier League,2001-2002,-1,14330000
282,Ivan Pelizzoli,Goalkeeper,20,Atalanta,Serie A,AS Roma,Serie A,2001-2002,-1,14000000
283,Giovanni van Bronckhorst,Left-Back,26,Rangers, Scotland,Arsenal,Premier League,2001-2002,-1,13500000
284,Adriano,Centre-Forward,19,Flamengo, Brazil,Inter,Serie A,2001-2002,-1,13190000
285,Mohamed Kallon,Centre-Forward,21,Vicenza,Serie B,Inter,Serie A,2001-2002,-1,13000000
286,Goran Drulic,Centre-Forward,24,Red Star, Serbia,Real Zaragoza,LaLiga,2001-2002,-1,13000000
287,Andy Cole,Centre-Forward,30,Man Utd,Premier League,Blackburn,Premier League,2001-2002,-1,12200000
288,Dean Richards,Centre-Back,27,Southampton,Premier League,Spurs,Premier League,2001-2002,-1,12150000
289,Simão,Left Winger,21,FC Barcelona,LaLiga,Benfica, Portugal,2001-2002,-1,12000000
290,Éric Carrière,Attacking Midfield,28,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,-1,12000000
291,Daniel Van Buyten,Centre-Back,23,Standard Liège,Jupiler Pro League,Marseille,Ligue 1,2001-2002,-1,11500000
292,Seth Johnson,Central Midfield,22,Derby,Premier League,Leeds,Premier League,2001-2002,-1,11500000
293,Emmanuel Petit,Defensive Midfield,30,FC Barcelona,LaLiga,Chelsea,Premier League,2001-2002,-1,11500000
294,Juan Carlos Valerón,Attacking Midfield,26,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,2001-2002,-1,11000000
295,Cristiano Zanetti,Defensive Midfield,24,AS Roma,Serie A,Inter,Serie A,2001-2002,-1,11000000
296,Diego Forlán,Second Striker,22,Independiente, Argentina,Man Utd,Premier League,2001-2002,-1,11000000
297,Mario Turdó,Centre-Forward,22,Celta de Vigo,LaLiga,Stade Rennais,Ligue 1,2001-2002,-1,10820000
298,Salva Ballesta,Centre-Forward,26,Atlético Madrid,LaLiga2,Valencia CF,LaLiga,2001-2002,-1,10800000
299,Corrado Grabbi,Centre-Forward,25,Ternana,Serie B,Blackburn,Premier League,2001-2002,-1,10700000
300,Jan Koller,Centre-Forward,28,RSC Anderlecht,Jupiler Pro League,Bor. Dortmund,1.Bundesliga,2001-2002,-1,10500000
301,Marco Materazzi,Centre-Back,27,Perugia,Serie A,Inter,Serie A,2001-2002,-1,10500000
302,Edwin van der Sar,Goalkeeper,30,Juventus,Serie A,Fulham,Premier League,2001-2002,-1,10300000
303,Martin Djetou,Centre-Back,26,Monaco,Ligue 1,Parma,Serie A,2001-2002,-1,9750000
304,Gareth Southgate,Centre-Back,30,Aston Villa,Premier League,Middlesbrough,Premier League,2001-2002,-1,9750000
305,Michael Ball,Left-Back,21,Everton,Premier League,Rangers, Scotland,2001-2002,-1,9750000
306,Hugo Leal,Central Midfield,21,Atlético Madrid,LaLiga2,Paris SG,Ligue 1,2001-2002,-1,9500000
307,William Gallas,Centre-Back,23,Marseille,Ligue 1,Chelsea,Premier League,2001-2002,-1,9300000
308,Martin Laursen,Centre-Back,23,Hellas Verona,Serie A,Parma,Serie A,2001-2002,-1,9300000
309,Craig Bellamy,Left Winger,21,Coventry City,First Division,Newcastle,Premier League,2001-2002,-1,9000000
310,John Hartson,Centre-Forward,26,Coventry City,First Division,Celtic, Scotland,2001-2002,-1,9000000
311,Fábio Rochemback,Central Midfield,19,Internacional, Brazil,FC Barcelona,LaLiga,2001-2002,-1,9000000
312,Lucas Bernardi,Central Midfield,23,Marseille,Ligue 1,Monaco,Ligue 1,2001-2002,-1,9000000
313,Richard Wright,Goalkeeper,23,Ipswich,Premier League,Arsenal,Premier League,2001-2002,-1,9000000
314,Péguy Luyindula,Centre-Forward,22,R. Strasbourg,Ligue 2,Olympique Lyon,Ligue 1,2001-2002,-1,8800000
315,Edú Gaspar,Central Midfield,23,Corinthians, Brazil,Arsenal,Premier League,2001-2002,-1,8750000
316,Flavio Roma,Goalkeeper,27,Piacenza,Serie A,Monaco,Ligue 1,2001-2002,-1,8500000
317,Jan Vennegoor of Hesselink,Centre-Forward,22,FC Twente,Eredivisie,PSV Eindhoven,Eredivisie,2001-2002,-1,8400000
318,Tomás Repka,Centre-Back,27,Fiorentina,Serie A,West Ham,Premier League,2001-2002,-1,8250000
319,Chris Kirkland,Goalkeeper,20,Coventry City,First Division,Liverpool,Premier League,2001-2002,-1,8200000
320,Claudio Pizarro,Centre-Forward,22,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2001-2002,-1,8200000
321,Alex,Attacking Midfield,23,Cruzeiro, Brazil,Parma,Serie A,2001-2002,-1,8000000
322,Darko Kovacevic,Centre-Forward,28,Lazio,Serie A,Real Sociedad,LaLiga,2001-2002,-1,8000000
323,Boudewijn Zenden,Left Winger,24,FC Barcelona,LaLiga,Chelsea,Premier League,2001-2002,-1,8000000
324,Patrik Andersson,Centre-Back,29,Bayern Munich ,1.Bundesliga,FC Barcelona,LaLiga,2001-2002,-1,8000000
325,Bosko Balaban,Centre-Forward,22,Dinamo Zagreb, Croatia,Aston Villa,Premier League,2001-2002,-1,7800000
326,Hugo Ibarra,Right-Back,27,Boca Juniors, Argentina,FC Porto, Portugal,2001-2002,-1,7800000
327,Zlatan Ibrahimovic,Centre-Forward,19,Malmö FF, Sweden,AFC Ajax,Eredivisie,2001-2002,-1,7800000
328,Jermaine Jenas,Central Midfield,18,Nottm Forest,First Division,Newcastle,Premier League,2001-2002,-1,7500000
329,Fernando Meira,Centre-Back,23,Benfica, Portugal,VfB Stuttgart,1.Bundesliga,2001-2002,-1,7500000
330,Jason Euell,Second Striker,24,MK Dons,First Division,Charlton,Premier League,2001-2002,-1,7500000
331,Giuliano Giannichedda,Defensive Midfield,26,Udinese Calcio,Serie A,Lazio,Serie A,2001-2002,-1,7500000
332,Robert Kovac,Centre-Back,27,Bay. Leverkusen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2001-2002,-1,7500000
333,Jon Macken,Centre-Forward,24,Preston NE,First Division,Man City,First Division,2001-2002,-1,7500000
334,Frédéric Née,Centre-Forward,26,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,-1,7500000
335,Don Hutchison,Attacking Midfield,30,Sunderland,Premier League,West Ham,Premier League,2001-2002,-1,7500000
336,Lee Hughes,Centre-Forward,25,West Brom,First Division,Coventry City,First Division,2001-2002,-1,7500000
337,Peter Crouch,Centre-Forward,21,Portsmouth,First Division,Aston Villa,Premier League,2001-2002,-1,7500000
338,Jerzy Dudek,Goalkeeper,28,Feyenoord,Eredivisie,Liverpool,Premier League,2001-2002,-1,7400000
339,Ewerthon,Centre-Forward,20,Corinthians, Brazil,Bor. Dortmund,1.Bundesliga,2001-2002,-1,7100000
340,Marcelinho Paraíba,Attacking Midfield,26,Grêmio, Brazil,Hertha BSC,1.Bundesliga,2001-2002,-1,7000000
341,Javier Chevantón,Centre-Forward,20,Danubio FC, Uruguay,Lecce,Serie A,2001-2002,-1,7000000
342,Cosmin Contra,Right-Back,25,Alavés,LaLiga,AC Milan,Serie A,2001-2002,-1,7000000
343,Camel Meriem,Attacking Midfield,22,FC Sochaux,Ligue 1,G. Bordeaux,Ligue 1,2001-2002,-1,7000000
344,Jesper Blomqvist,Left Midfield,27,Man Utd,Premier League,Everton,Premier League,2001-2002,-1,7000000
345,Nelson Vivas,Right-Back,31,Arsenal,Premier League,Inter,Serie A,2001-2002,-1,7000000
346,Milan Baros,Centre-Forward,20,Banik Ostrava, Czech Republic,Liverpool,Premier League,2001-2002,-1,7000000
347,Olof Mellberg,Centre-Back,23,Racing,LaLiga2,Aston Villa,Premier League,2001-2002,-1,6800000
348,Szilard Nemeth,Second Striker,23,Inter Bratislava, Slovakia,Middlesbrough,Premier League,2001-2002,-1,6750000
349,Tomasz Radzinski,Centre-Forward,27,RSC Anderlecht,Jupiler Pro League,Everton,Premier League,2001-2002,-1,6750000
350,Claudio Reyna,Central Midfield,28,Rangers, Scotland,Sunderland,Premier League,2001-2002,-1,6700000
351,Steed Malbranque,Central Midfield,21,Olympique Lyon,Ligue 1,Fulham,Premier League,2001-2002,-1,6600000
352,Christian Ziege,Left Midfield,29,Liverpool,Premier League,Spurs,Premier League,2001-2002,-1,6500000
353,Joan Capdevila,Left-Back,23,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,2001-2002,-1,6400000
354,Matteo Sereni,Goalkeeper,26,Sampdoria,Serie B,Ipswich,Premier League,2001-2002,-1,6250000
355,Bart Goor,Left Midfield,28,RSC Anderlecht,Jupiler Pro League,Hertha BSC,1.Bundesliga,2001-2002,-1,6250000
356,John Arne Riise,Left-Back,20,Monaco,Ligue 1,Liverpool,Premier League,2001-2002,-1,6100000
357,Alex,Attacking Midfield,24,Parma,Serie A,Cruzeiro, Brazil,2001-2002,-1,6000000
358,Luke Young,Right-Back,21,Spurs,Premier League,Charlton,Premier League,2001-2002,-1,6000000
359,Rory Delap,Central Midfield,25,Derby,Premier League,Southampton,Premier League,2001-2002,-1,6000000
360,Goran Bunjevcevic,Centre-Back,28,Red Star, Serbia,Spurs,Premier League,2001-2002,-1,6000000
361,Antonio Guayre,Right Winger,21,UD Las Palmas,LaLiga,Villarreal CF,LaLiga,2001-2002,-1,6000000
362,Gonzalo Sorondo,Centre-Back,21,Defensor, Uruguay,Inter,Serie A,2001-2002,-1,6000000
363,Zoltan Sebescen,Right-Back,25,VfL Wolfsburg,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2001-2002,-1,6000000
364,Lamberto Zauli,Attacking Midfield,30,Vicenza,Serie B,Bologna,Serie A,2001-2002,-1,6000000
365,Agustín Delgado,Centre-Forward,27,Necaxa, Mexico,Southampton,Premier League,2001-2002,-1,5750000
366,Joey Gudjónsson,Central Midfield,21,RKC Waalwijk,Eredivisie,Real Betis,LaLiga,2001-2002,-1,5630000
367,Bernardo Romeo,Centre-Forward,24,San Lorenzo, Argentina,Hamburger SV,1.Bundesliga,2001-2002,-1,5620000
368,Paulo Wanchope,Centre-Forward,24,West Ham,Premier League,Man City,First Division,2001-2002,-1,5600000
369,Didier Domi,Left-Back,23,Newcastle,Premier League,Paris SG,Ligue 1,2001-2002,-1,5580000
370,Niko Kovac,Defensive Midfield,29,Hamburger SV,1.Bundesliga,Bayern Munich ,1.Bundesliga,2001-2002,-1,5500000
371,Shinji Ono,Attacking Midfield,21,Urawa Reds,J1 - 2nd Stage,Feyenoord,Eredivisie,2001-2002,-1,5500000
372,Marius Niculae,Centre-Forward,20,Dinamo Bukarest, Romania,Sporting CP, Portugal,2001-2002,-1,5300000
373,Sylvain Legwinski,Left Midfield,28,G. Bordeaux,Ligue 1,Fulham,Premier League,2001-2002,-1,5250000
374,Jon Harley,Left-Back,21,Chelsea,Premier League,Fulham,Premier League,2001-2002,-1,5250000
375,Nicolás Medina,Defensive Midfield,19,Argentinos, Argentina,Sunderland,Premier League,2001-2002,-1,5250000
376,Ronaldinho,Attacking Midfield,21,Grêmio, Brazil,Paris SG,Ligue 1,2001-2002,-1,5100000
377,Victor Agali,Centre-Forward,22,Hansa Rostock,1.Bundesliga,FC Schalke 04,1.Bundesliga,2001-2002,-1,5100000
378,Nihat Kahveci,Centre-Forward,22,Besiktas,Süper Lig,Real Sociedad,LaLiga,2001-2002,-1,5000000
379,César,Left Midfield,26,São Caetano, Brazil,Lazio,Serie A,2001-2002,-1,5000000
380,Christian Panucci,Right-Back,28,Inter,Serie A,AS Roma,Serie A,2001-2002,-1,5000000
381,Ezequiel González,Attacking Midfield,20,CA Rosario, Argentina,Fiorentina,Serie A,2001-2002,-1,5000000
382,Mantorras,Centre-Forward,19,Alverca, Portugal,Benfica, Portugal,2001-2002,-1,5000000
383,Eduardo Costa,Defensive Midfield,18,Grêmio, Brazil,G. Bordeaux,Ligue 1,2001-2002,-1,5000000
384,Ümit Davala,Right Midfield,28,Galatasaray,Süper Lig,AC Milan,Serie A,2001-2002,-1,5000000
385,Sander Westerveld,Goalkeeper,27,Liverpool,Premier League,Real Sociedad,LaLiga,2001-2002,-1,5000000
386,Lilian Laslandes,Centre-Forward,29,G. Bordeaux,Ligue 1,Sunderland,Premier League,2001-2002,-1,5000000
387,João Tomás,Centre-Forward,26,Benfica, Portugal,Real Betis,LaLiga,2001-2002,-1,5000000
388,Delfim,Central Midfield,24,Sporting CP, Portugal,Marseille,Ligue 1,2001-2002,-1,5000000
389,Jörg Albertz,Left Midfield,30,Rangers, Scotland,Hamburger SV,1.Bundesliga,2001-2002,-1,5000000
390,David James,Goalkeeper,30,Aston Villa,Premier League,West Ham,Premier League,2001-2002,-1,4800000
391,Aníbal Matellán,Centre-Back,24,Boca Juniors, Argentina,FC Schalke 04,1.Bundesliga,2001-2002,-1,4800000
392,Jérôme Rothen,Left Midfield,23,Troyes,Ligue 1,Monaco,Ligue 1,2001-2002,-1,4500000
393,Shota Arveladze,Centre-Forward,28,AFC Ajax,Eredivisie,Rangers, Scotland,2001-2002,-1,4500000
394,Marcus Bent,Centre-Forward,23,Blackburn,Premier League,Ipswich,Premier League,2001-2002,-1,4500000
395,Jardel,Centre-Forward,27,Galatasaray,Süper Lig,Sporting CP, Portugal,2001-2002,-1,4500000
396,Patrick M'Boma,Centre-Forward,31,Parma,Serie A,Sunderland,Premier League,2001-2002,-1,4500000
397,Matthew Jones,Central Midfield,20,Leeds,Premier League,Leicester,Premier League,2001-2002,-1,4500000
398,James Scowcroft,Centre-Forward,25,Ipswich,Premier League,Leicester,Premier League,2001-2002,-1,4500000
399,Kenny Miller,Centre-Forward,22,Rangers, Scotland,Wolves,First Division,2001-2002,-1,4500000
400,Jacek Bak,Centre-Back,28,Olympique Lyon,Ligue 1,Lens,Ligue 1,2001-2002,-1,4300000
401,Mido,Centre-Forward,18,KAA Gent,Jupiler Pro League,AFC Ajax,Eredivisie,2001-2002,-1,4200000
402,Pablo Contreras,Centre-Back,22,Monaco,Ligue 1,Celta de Vigo,LaLiga,2001-2002,-1,4200000
403,Finidi George,Right Winger,30,RCD Mallorca,LaLiga,Ipswich,Premier League,2001-2002,-1,4200000
404,François Grenet,Right-Back,26,G. Bordeaux,Ligue 1,Derby,Premier League,2001-2002,-1,4190000
405,Lincoln,Attacking Midfield,22,Atlético-MG, Brazil,1.FC K'lautern,1.Bundesliga,2001-2002,-1,4000000
406,Brahim Hemdani,Defensive Midfield,23,R. Strasbourg,Ligue 2,Marseille,Ligue 1,2001-2002,-1,4000000
407,Mustapha Hadji,Attacking Midfield,29,Coventry City,First Division,Aston Villa,Premier League,2001-2002,-1,4000000
408,Alberto Gilardino,Centre-Forward,19,Piacenza,Serie A,Hellas Verona,Serie A,2001-2002,-1,3870000
409,Mario Yepes,Centre-Back,25,River Plate, Argentina,FC Nantes,Ligue 1,2001-2002,-1,3800000
410,Sylvinho,Left-Back,27,Arsenal,Premier League,Celta de Vigo,LaLiga,2001-2002,-1,3800000
411,John de Jong,Attacking Midfield,24,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,2001-2002,-1,3800000
412,Toifilou Maoulida,Centre-Forward,22,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2001-2002,-1,3800000
413,Tobias Linderoth,Defensive Midfield,22,Stabaek IF,Eliteserien,Everton,Premier League,2001-2002,-1,3750000
414,Ilhan Mansiz,Centre-Forward,26,Samsunspor,Süper Lig,Besiktas,Süper Lig,2001-2002,-1,3750000
415,Ian Walker,Goalkeeper,29,Spurs,Premier League,Leicester,Premier League,2001-2002,-1,3750000
416,Gabriel Heinze,Centre-Back,23,Real Valladolid,LaLiga,Paris SG,Ligue 1,2001-2002,-1,3500000
417,Maxwell,Left-Back,19,Cruzeiro, Brazil,AFC Ajax,Eredivisie,2001-2002,-1,3500000
418,Vitali Kutuzov,Centre-Forward,21,BATE Borisov,Vysheyshaya Liga,AC Milan,Serie A,2001-2002,-1,3500000
419,Yksel Osmanovski,Left Midfield,24,Bari,Serie B,Torino,Serie A,2001-2002,-1,3500000
420,Jorge Bermúdez,Centre-Back,30,Boca Juniors, Argentina,Olympiacos,Super League,2001-2002,-1,3500000
421,Gustavo Poyet,Attacking Midfield,33,Chelsea,Premier League,Spurs,Premier League,2001-2002,-1,3400000
422,Abdeslam Ouaddou,Centre-Back,22,AS Nancy,Ligue 2,Fulham,Premier League,2001-2002,-1,3300000
423,Stelios Venetidis,Left-Back,24,PAOK Saloniki,Super League,Olympiacos,Super League,2001-2002,-1,3300000
424,Jihai Sun,Centre-Back,24,DL Shide, China,Man City,First Division,2001-2002,-1,3260000
425,Martin Petrov,Left Winger,22,Servette FC,1.Liga gr. 1,VfL Wolfsburg,1.Bundesliga,2001-2002,-1,3250000
426,Yildiray Bastürk,Attacking Midfield,22,VfL Bochum,2.Bundesliga,Bay. Leverkusen,1.Bundesliga,2001-2002,-1,3250000
427,Sebastian Kehl,Defensive Midfield,21,SC Freiburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2001-2002,-1,3200000
428,Olivier Monterrubio,Left Midfield,24,FC Nantes,Ligue 1,Stade Rennais,Ligue 1,2001-2002,-1,3000000
429,Diego Klimowicz,Centre-Forward,27,Lanús, Argentina,VfL Wolfsburg,1.Bundesliga,2001-2002,-1,3000000
430,Christian Giménez,Centre-Forward,26,FC Lugano,Super League,FC Basel,Super League,2001-2002,-1,3000000
431,Ahmed Hassan,Attacking Midfield,26,Denizlispor,Süper Lig,Genclerbirligi,Süper Lig,2001-2002,-1,3000000
432,Olivier Sorlin,Defensive Midfield,22,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2001-2002,-1,3000000
433,Rolan Gusev,Right Midfield,24,Dinamo Moscow,Premier Liga,CSKA Moscow,Premier Liga,2001-2002,-1,3000000
434,Nils-Eric Johansson,Left-Back,21,1.FC Nuremberg,1.Bundesliga,Blackburn,Premier League,2001-2002,-1,3000000
435,Mark Kennedy,Left-Back,25,Man City,First Division,Wolves,First Division,2001-2002,-1,3000000
436,Christian Nerlinger,Defensive Midfield,28,Bor. Dortmund,1.Bundesliga,Rangers, Scotland,2001-2002,-1,3000000
437,Hakan Ünsal,Left-Back,28,Galatasaray,Süper Lig,Blackburn,Premier League,2001-2002,-1,3000000
438,Christian Karembeu,Defensive Midfield,30,Middlesbrough,Premier League,Olympiacos,Super League,2001-2002,-1,3000000
439,Alberto Fontana,Goalkeeper,34,SSC Napoli,Serie B,Inter,Serie A,2001-2002,-1,3000000
440,Jason McAteer,Right Midfield,30,Blackburn,Premier League,Sunderland,Premier League,2001-2002,-1,3000000
441,Marco Reich,Left Midfield,23,1.FC K'lautern,1.Bundesliga,1. FC Köln,1.Bundesliga,2001-2002,-1,3000000
442,Roy Carroll,Goalkeeper,23,Wigan, England,Man Utd,Premier League,2001-2002,-1,3000000
443,Jonathan Greening,Central Midfield,22,Man Utd,Premier League,Middlesbrough,Premier League,2001-2002,-1,3000000
444,Zizi Roberts,Centre-Forward,22,Panionios,Super League,Olympiacos,Super League,2001-2002,-1,2900000
445,Miroslav Karhan,Central Midfield,25,Besiktas,Süper Lig,VfL Wolfsburg,1.Bundesliga,2001-2002,-1,2750000
446,Francisco Rojas,Right-Back,26,Colo Colo, Chile,Sturm Graz,Bundesliga,2001-2002,-1,2660000
