,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
2869,Ilkay Gündogan,Central Midfield,20,1.FC Nuremberg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2011-2012,6500000,5500000
2870,Bruno César,Left Midfield,22,Corinthians,Série A,Benfica,Liga NOS,2011-2012,6000000,5500000
2871,Ivan Perisic,Left Winger,22,Club Brugge,Jupiler Pro League,Bor. Dortmund,1.Bundesliga,2011-2012,6000000,5500000
2872,Leroy Fer,Central Midfield,21,Feyenoord,Eredivisie,FC Twente,Eredivisie,2011-2012,5500000,5500000
2873,Maxi Moralez,Attacking Midfield,24,Vélez Sarsfield,Torneo Final,Atalanta,Serie A,2011-2012,5000000,5300000
2874,Édgar Barreto,Central Midfield,27,Atalanta,Serie A,US Palermo,Serie A,2011-2012,3500000,5300000
2875,Matt Mills,Centre-Back,24,Reading,Championship,Leicester,Championship,2011-2012,750000,5300000
2876,Adrian Mierzejewski,Attacking Midfield,24,Pol. Warsaw,Ekstraklasa,Trabzonspor,Süper Lig,2011-2012,3000000,5250000
2877,Federico Marchetti,Goalkeeper,28,Cagliari Calcio,Serie A,Lazio,Serie A,2011-2012,5500000,5200000
2878,Shane Long,Centre-Forward,24,Reading,Championship,West Brom,Premier League,2011-2012,2000000,5100000
2879,Ricky van Wolfswinkel,Centre-Forward,22,FC Utrecht,Eredivisie,Sporting CP,Liga NOS,2011-2012,6000000,5080000
2880,Alex,Centre-Back,29,Chelsea,Premier League,Paris SG,Ligue 1,2011-2012,13000000,5000000
2881,Alou Diarra,Defensive Midfield,29,G. Bordeaux,Ligue 1,Marseille,Ligue 1,2011-2012,12000000,5000000
2882,Yohan Cabaye,Central Midfield,25,LOSC Lille,Ligue 1,Newcastle,Premier League,2011-2012,11000000,5000000
2883,Didier Zokora,Defensive Midfield,30,Sevilla FC,LaLiga,Trabzonspor,Süper Lig,2011-2012,10000000,5000000
2884,Diego Forlán,Second Striker,32,Atlético Madrid,LaLiga,Inter,Serie A,2011-2012,10000000,5000000
2885,Mehmet Ekici,Attacking Midfield,21,Bayern Munich ,1.Bundesliga,Werder Bremen,1.Bundesliga,2011-2012,6500000,5000000
2886,José Callejón,Right Winger,24,Espanyol,LaLiga,Real Madrid,LaLiga,2011-2012,6500000,5000000
2887,Georginio Wijnaldum,Central Midfield,20,Feyenoord,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,6500000,5000000
2888,Djibril Cissé,Centre-Forward,30,Lazio,Serie A,QPR,Premier League,2011-2012,6000000,5000000
2889,Ikechukwu Uche,Centre-Forward,27,Real Zaragoza,LaLiga,Villarreal CF,LaLiga,2011-2012,5000000,5000000
2890,Ahmed Musa,Centre-Forward,19,VVV-Venlo,Eredivisie,CSKA Moscow, Russia,2011-2012,5000000,5000000
2891,Rúben Micael,Attacking Midfield,24,FC Porto,Liga NOS,Atlético Madrid,LaLiga,2011-2012,4900000,5000000
2892,Gabriel Torje,Right Winger,21,Dinamo Bukarest,Liga 1,Udinese Calcio,Serie A,2011-2012,4500000,5000000
2893,Jonathan,Right-Back,25,Santos FC,Série A,Inter,Serie A,2011-2012,4500000,5000000
2894,Éder,Second Striker,24,Brescia,Serie B,RC Cesena,Serie A,2011-2012,4200000,5000000
2895,Ibson,Central Midfield,27,Spartak Moscow,Premier Liga,Santos FC,Série A,2011-2012,3500000,5000000
2896,Simone Padoin,Central Midfield,27,Atalanta,Serie A,Juventus,Serie A,2011-2012,3500000,5000000
2897,Sergey Davydov,Centre-Forward,26,Kuban Krasnodar, Russia,Rubin Kazan, Russia,2011-2012,3000000,5000000
2898,Nemanja Matic,Defensive Midfield,22,Chelsea,Premier League,Benfica,Liga NOS,2011-2012,3000000,5000000
2899,Dudu,Right Midfield,19,Cruzeiro,Série A,Dynamo Kyiv,Premier Liga,2011-2012,750000,5000000
